long,lat,order,hole,piece,group,id
-83.46323609,41.75768729,1,FALSE,1,0.1,0
-83.4635717,41.75777465,2,FALSE,1,0.1,0
-83.46402159,41.7580487,3,FALSE,1,0.1,0
-83.46564688,41.7595899,4,FALSE,1,0.1,0
-83.46680666,41.76049714,5,FALSE,1,0.1,0
-83.46796651,41.76172858,6,FALSE,1,0.1,0
-83.46863765,41.76222301,7,FALSE,1,0.1,0
-83.46845447,41.7627493,8,FALSE,1,0.1,0
-83.46788238,41.76294622,9,FALSE,1,0.1,0
-83.46731779,41.76292682,10,FALSE,1,0.1,0
-83.46551723,41.76257372,11,FALSE,1,0.1,0
-83.46264076,41.76268946,12,FALSE,1,0.1,0
-83.45906245,41.76245991,13,FALSE,1,0.1,0
-83.45775781,41.76217712,14,FALSE,1,0.1,0
-83.45591145,41.76194192,15,FALSE,1,0.1,0
-83.45494269,41.76173297,16,FALSE,1,0.1,0
-83.45446186,41.76150458,17,FALSE,1,0.1,0
-83.45362262,41.76146847,18,FALSE,1,0.1,0
-83.45297429,41.76134272,19,FALSE,1,0.1,0
-83.45259254,41.76103116,20,FALSE,1,0.1,0
-83.45219605,41.7602831,21,FALSE,1,0.1,0
-83.45123463,41.75982179,22,FALSE,1,0.1,0
-83.45083017,41.75930807,23,FALSE,1,0.1,0
-83.45049456,41.75922066,24,FALSE,1,0.1,0
-83.44999874,41.75924925,25,FALSE,1,0.1,0
-83.44958657,41.75940214,26,FALSE,1,0.1,0
-83.44920498,41.75961742,27,FALSE,1,0.1,0
-83.44863309,41.76010694,28,FALSE,1,0.1,0
-83.44824361,41.76011524,29,FALSE,1,0.1,0
-83.44802272,41.75998035,30,FALSE,1,0.1,0
-83.44803011,41.75971001,31,FALSE,1,0.1,0
-83.44782408,41.75961983,32,FALSE,1,0.1,0
-83.44713751,41.7599902,33,FALSE,1,0.1,0
-83.44691632,41.75988684,34,FALSE,1,0.1,0
-83.44692384,41.75953094,35,FALSE,1,0.1,0
-83.44678664,41.75936274,36,FALSE,1,0.1,0
-83.44619924,41.75937525,37,FALSE,1,0.1,0
-83.44571853,41.75993036,38,FALSE,1,0.1,0
-83.44503963,41.76030506,39,FALSE,1,0.1,0
-83.4451921,41.76055849,40,FALSE,1,0.1,0
-83.44571096,41.76079962,41,FALSE,1,0.1,0
-83.44590148,41.76117382,42,FALSE,1,0.1,0
-83.44746583,41.7624464,43,FALSE,1,0.1,0
-83.44809127,41.76282033,44,FALSE,1,0.1,0
-83.44902982,41.76414225,45,FALSE,1,0.1,0
-83.4494571,41.76453391,46,FALSE,1,0.1,0
-83.44971625,41.76519934,47,FALSE,1,0.1,0
-83.45044116,41.76534149,48,FALSE,1,0.1,0
-83.4506168,41.76553137,49,FALSE,1,0.1,0
-83.4507233,41.76598842,50,FALSE,1,0.1,0
-83.45096781,41.76634795,51,FALSE,1,0.1,0
-83.45146364,41.76648597,52,FALSE,1,0.1,0
-83.45137943,41.76717674,53,FALSE,1,0.1,0
-83.45162366,41.76942306,54,FALSE,1,0.1,0
-83.45208906,41.76998502,55,FALSE,1,0.1,0
-83.4520968,41.77079991,56,FALSE,1,0.1,0
-83.45227975,41.77105268,57,FALSE,1,0.1,0
-83.45268446,41.77131423,58,FALSE,1,0.1,0
-83.45289801,41.77157084,59,FALSE,1,0.1,0
-83.45298931,41.7718751,60,FALSE,1,0.1,0
-83.45395061,41.77226885,61,FALSE,1,0.1,0
-83.45540028,41.77243601,62,FALSE,1,0.1,0
-83.4564074,41.77272969,63,FALSE,1,0.1,0
-83.45649896,41.77302043,64,FALSE,1,0.1,0
-83.45636164,41.77318548,65,FALSE,1,0.1,0
-83.45606435,41.7732864,66,FALSE,1,0.1,0
-83.45563709,41.77328203,67,FALSE,1,0.1,0
-83.45489684,41.7729376,68,FALSE,1,0.1,0
-83.45433228,41.77283259,69,FALSE,1,0.1,0
-83.45417216,41.77307017,70,FALSE,1,0.1,0
-83.45439324,41.77337616,71,FALSE,1,0.1,0
-83.45562937,41.77375952,72,FALSE,1,0.1,0
-83.45623198,41.77410237,73,FALSE,1,0.1,0
-83.45640761,41.7743598,74,FALSE,1,0.1,0
-83.45645342,41.77473257,75,FALSE,1,0.1,0
-83.45637704,41.77508544,76,FALSE,1,0.1,0
-83.45589646,41.77554603,77,FALSE,1,0.1,0
-83.45545363,41.77626698,78,FALSE,1,0.1,0
