"serial","day","month","year","season","time","bin.depth.min","bin.depth.max","n","depth.mean","depth.sd","depth.cv","temp.mean","temp.sd","temp.cv","cond.mean","cond.sd","cond.cv","ph.mean","ph.sd","ph.cv","turb.mean","turb.sd","turb.cv","chloro.mean","chloro.sd","chloro.cv","do.percent.mean","do.percent.sd","do.percent.cv","do.ppm.mean","do.ppm.sd","do.ppm.cv","lat","long"
102,18,6,2013,"Spring",1620,3.5,4.5,3,3.934,0.222,0.056,20.337,0.006,0,0.233,0,0,8.21,0,0,155.9,0,0,6.3,0,0,89.1,0,0,8.043,0.006,0.001,41.76338,-83.24987
102,18,6,2013,"Spring",1620,4.5,5.5,4,4.924,0.375,0.076,20.308,0.022,0.001,0.233,0,0,8.22,0,0,155.85,0.058,0,6.3,0,0,89.15,0.058,0.001,8.053,0.005,0.001,41.76338,-83.24987
102,18,6,2013,"Spring",1620,5.5,6.5,4,6.005,0.369,0.061,20.233,0.017,0.001,0.232,0.001,0.004,8.23,0,0,155.8,0,0,6.3,0,0,89.225,0.05,0.001,8.072,0.005,0.001,41.76338,-83.24987
102,18,6,2013,"Spring",1620,6.5,7.5,3,7.048,0.29,0.041,20.183,0.015,0.001,0.233,0,0,8.23,0,0,155.7,0,0,6.3,0,0,89.3,0,0,8.087,0.006,0.001,41.76338,-83.24987
102,18,6,2013,"Spring",1620,7.5,8.5,3,7.792,0.175,0.022,20.127,0.015,0.001,0.233,0.001,0.004,8.23,0,0,155.7,0,0,6.3,0,0,89.367,0.058,0.001,8.1,0,0,41.76338,-83.24987
103,18,6,2013,"Spring",1435,-0.5,0.5,23,0.169,0.13,0.769,18.753,1.232,0.066,0.14,0.121,0.864,8.139,0.042,0.005,54.057,113.701,2.103,10.383,25.268,2.434,91.326,3.482,0.038,8.51,0.17,0.02,41.8634,-83.24993
103,18,6,2013,"Spring",1435,0.5,1.5,4,0.754,0.269,0.357,20.42,0.02,0.001,0.26,0,0,8.203,0.01,0.001,9.325,0.974,0.104,0.275,1.482,5.389,99.475,1.895,0.019,8.965,0.167,0.019,41.8634,-83.24993
103,18,6,2013,"Spring",1435,1.5,2.5,4,2.046,0.317,0.155,20.44,0.008,0,0.26,0,0,8.22,0.008,0.001,11.1,3.582,0.323,0.3,0.825,2.75,102.15,0.569,0.006,9.2,0.052,0.006,41.8634,-83.24993
103,18,6,2013,"Spring",1435,2.5,3.5,4,3.158,0.212,0.067,20.422,0.005,0,0.26,0,0,8.238,0.005,0.001,8.65,0.238,0.028,2.475,1.266,0.512,103.7,0.392,0.004,9.345,0.034,0.004,41.8634,-83.24993
103,18,6,2013,"Spring",1435,3.5,4.5,2,4.084,0.212,0.052,20.415,0.007,0,0.26,0,0,8.245,0.007,0.001,8.6,0,0,2.1,3.394,1.616,104.5,0.141,0.001,9.42,0.014,0.001,41.8634,-83.24993
103,18,6,2013,"Spring",1435,4.5,5.5,3,4.975,0.357,0.072,20.393,0.006,0,0.26,0,0,8.25,0,0,8.767,0.493,0.056,2.7,0.781,0.289,104.833,0.115,0.001,9.453,0.012,0.001,41.8634,-83.24993
103,18,6,2013,"Spring",1435,5.5,6.5,3,6.066,0.326,0.054,20.367,0.021,0.001,0.26,0,0,8.26,0,0,8.467,0.208,0.025,3.4,2.252,0.662,105.3,0.1,0.001,9.497,0.015,0.002,41.8634,-83.24993
103,18,6,2013,"Spring",1435,6.5,7.5,3,7.203,0.36,0.05,20.307,0.035,0.002,0.259,0.001,0.004,8.26,0,0,9.633,0.577,0.06,3.1,2.261,0.729,105.467,0.058,0.001,9.527,0.015,0.002,41.8634,-83.24993
103,18,6,2013,"Spring",1435,7.5,8.5,2,7.949,0.127,0.016,20.245,0.007,0,0.26,0,0,8.26,0,0,221.9,300.379,1.354,4.25,1.626,0.383,105.45,0.071,0.001,9.535,0.007,0.001,41.8634,-83.24993
