species,class
Walleye,Spiny-rayed
White Perch,Spiny-rayed
White Bass,Spiny-rayed
Freshwater Drum,Spiny-rayed
Yellow Perch,Spiny-rayed
Trout Perch,Soft-rayed
Round Goby,Soft-rayed
Gizzard Shad,Clupeids
Emerald Shiner,Soft-rayed
Rainbow Smelt,Soft-rayed
Spottail Shiner,Soft-rayed
Silver Chub,Soft-rayed
Alewife,Clupeids
Brook Silverside,Soft-rayed
